Date,Day,Permit,Field
Mar 1,Wed,05:45 PM - 09:00 PM,lw3
Mar 1,Wed,05:45 PM - 09:15 PM,lw4
Mar 1,Wed,05:45 PM - 09:00 PM,lw5
Mar 1,Wed,05:45 PM - 09:00 PM,lw6
Mar 2,Thu,05:45 PM - 09:00 PM,lw3
Mar 2,Thu,05:45 PM - 09:00 PM,lw4
Mar 2,Thu,05:45 PM - 09:00 PM,lw5
Mar 2,Thu,05:45 PM - 09:00 PM,lw6
Mar 3,Fri,05:45 PM - 08:00 PM,lw3
Mar 3,Fri,05:45 PM - 08:00 PM,lw4
Mar 3,Fri,05:45 PM - 08:00 PM,lw5
Mar 3,Fri,05:45 PM - 08:00 PM,lw6
Mar 4,Sat,08:00 AM - 02:00 PM,lw3
Mar 4,Sat,09:00 AM - 05:00 PM,lw4
Mar 4,Sat,09:00 AM - 05:00 PM,lw5
Mar 4,Sat,09:00 AM - 05:00 PM,lw6
Mar 6,Mon,05:45 PM - 09:00 PM,lw3
Mar 6,Mon,05:45 PM - 09:00 PM,lw4
Mar 6,Mon,05:45 PM - 09:00 PM,lw5
Mar 6,Mon,05:15 PM - 09:00 PM,lw6
Mar 7,Tue,05:45 PM - 09:00 PM,lw3
Mar 7,Tue,05:45 PM - 09:00 PM,lw4
Mar 7,Tue,05:45 PM - 09:00 PM,lw5
Mar 7,Tue,05:15 PM - 09:00 PM,lw6
Mar 8,Wed,05:45 PM - 09:00 PM,lw3
Mar 8,Wed,05:45 PM - 09:15 PM,lw4
Mar 8,Wed,05:45 PM - 09:00 PM,lw5
Mar 8,Wed,05:15 PM - 09:00 PM,lw6
Mar 9,Thu,05:45 PM - 09:00 PM,lw3
Mar 9,Thu,05:45 PM - 09:00 PM,lw4
Mar 9,Thu,05:45 PM - 09:00 PM,lw5
Mar 9,Thu,05:15 PM - 09:00 PM,lw6
Mar 10,Fri,05:45 PM - 08:00 PM,lw3
Mar 10,Fri,05:45 PM - 08:00 PM,lw4
Mar 10,Fri,05:45 PM - 08:00 PM,lw5
Mar 10,Fri,05:15 PM - 08:00 PM,lw6
